Title: Maximum Temperature of All station during year 2000 to 2022

SL.	Station	Year	Month	Temperature (Deg.Cel)
514	Rangpur (10208)	2019	10	30.69
515	Rangpur (10208)	2019	11	29.94
516	Rangpur (10208)	2019	12	23.55
517	Rangpur (10208)	2020	1	22.50
518	Rangpur (10208)	2020	2	26.05
519	Rangpur (10208)	2020	3	29.87
520	Rangpur (10208)	2020	4	31.39
521	Rangpur (10208)	2020	5	31.58
522	Rangpur (10208)	2020	6	32.94
523	Rangpur (10208)	2020	7	32.00
524	Rangpur (10208)	2020	8	34.12
525	Rangpur (10208)	2020	9	31.49
526	Rangpur (10208)	2020	10	33.10
527	Rangpur (10208)	2020	11	29.48
528	Rangpur (10208)	2020	12	25.14
529	Rangpur (10208)	2021	1	22.67
530	Rangpur (10208)	2021	2	28.12
531	Rangpur (10208)	2021	3	31.26
532	Rangpur (10208)	2021	4	33.34
533	Rangpur (10208)	2021	5	31.82
534	Rangpur (10208)	2021	6	32.70
535	Rangpur (10208)	2021	7	33.23
536	Rangpur (10208)	2021	8	33.01
537	Rangpur (10208)	2021	9	33.73
538	Rangpur (10208)	2021	10	32.38
539	Rangpur (10208)	2021	11	29.56
540	Rangpur (10208)	2021	12	26.97
541	Rangpur (10208)	2022	1	23.49
542	Rangpur (10208)	2022	2	24.51
543	Rangpur (10208)	2022	3	32.22
544	Rangpur (10208)	2022	4	30.58
545	Rangpur (10208)	2022	5	32.09
546	Rangpur (10208)	2022	6	31.83
547	Rangpur (10208)	2022	7	34.75
548	Rangpur (10208)	2022	8	34.07
549	Rangpur (10208)	2022	9	32.82
550	Rangpur (10208)	2022	10	32.04
551	Rangpur (10208)	2022	11	30.09
552	Rangpur (10208)	2022	12	26.55
553	Rajshahi (10320)	2000	1	24.06
554	Rajshahi (10320)	2000	2	25.22
555	Rajshahi (10320)	2000	3	31.96
556	Rajshahi (10320)	2000	4	34.56
557	Rajshahi (10320)	2000	5	33.35
558	Rajshahi (10320)	2000	6	33.61
559	Rajshahi (10320)	2000	7	32.73
560	Rajshahi (10320)	2000	8	33.27
561	Rajshahi (10320)	2000	9	31.20
562	Rajshahi (10320)	2000	10	32.10
563	Rajshahi (10320)	2000	11	30.23
564	Rajshahi (10320)	2000	12	26.14
565	Rajshahi (10320)	2001	1	24.24
